" "," ","編號","股票","類別","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","收盤價",""
" "," ","38","1312 國喬","塑膠","0.00","0.00","1.00","1.00","0.80","0.30","1.00","1.00","0.70","1.00","0.20","0.00","0.00","0.00","0.00","28.75"," "
" "," ","39","1313 聯成","塑膠","0.20","0.50","1.80","0.85","0.20","0.20","0.40","1.00","1.00","1.98","1.00","0.20","1.40","1.20","0.61","23.70"," "
" "," ","40","1314 中石化","塑膠","0.30","1.00","0.00","0.00","0.00","0.00","0.00","0.50","3.50","2.00","0.00","0.00","0.60","0.00","0.00","12.60"," "
" "," ","41","1315 達新","塑膠","3.65","1.20","1.10","1.10","1.10","1.10","1.00","1.00","1.70","1.00","1.00","1.00","1.20","1.00","1.00","65.20"," "
" "," ","42","1316 上曜","化學","0.00","1.89","2.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12.25"," "
" "," ","43","1319 東陽","塑膠","1.80","1.70","2.05","2.12","1.40","0.74","1.10","0.60","0.70","1.10","1.45","0.60","1.15","0.80","1.50","34.05"," "
" "," ","44","1321 大洋","塑膠","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.20","1.00","34.85"," "
" "," ","45","1323 永裕","塑膠","1.60","1.80","1.30","1.80","1.55","1.80","1.50","1.20","1.20","1.50","1.40","0.60","0.80","0.50","0.35","33.85"," "
" "," ","46","1324 地球","塑膠","0.30","0.30","0.30","0.40","0.40","0.30","1.30","0.40","0.60","0.40","0.60","0.10","0.00","0.12","0.50","11.00"," "
" "," ","47","1325 恆大","塑膠","0.30","0.50","0.35","0.80","0.70","0.45","0.65","0.45","0.65","1.00","0.80","0.60","0.60","0.30","0.20","49.10"," "
" "," ","48","1326 台化","塑膠","3.80","6.20","7.00","5.60","3.50","1.20","2.50","0.95","4.00","7.50","4.50","1.20","7.00","4.80","5.50","81.30"," "
" "," ","49","1336 台翰","櫃電零","1.20","0.79","0.60","0.00","0.00","0.00","0.08","0.00","0.30","0.60","0.00","0.82","2.60","3.00","3.00","21.65"," "
" "," ","50","1337 再生-KY","塑膠","0.00","0.00","0.03","0.07","0.50","0.43","3.30","5.00","5.02","-","-","-","-","-","-","7.08"," "
" "," ","51","1338 廣華-KY","汽車","3.50","3.50","5.00","4.00","4.50","3.70","2.50","2.50","1.50","0.00","-","-","-","-","-","54.10"," "
" "," ","52","1339 昭輝","塑膠","2.00","2.00","2.00","2.00","2.00","2.00","1.50","1.50","1.50","1.50","-","-","-","-","-","36.75"," "
" "," ","53","1340 勝悅-KY","塑膠","0.00","1.20","1.30","2.20","1.00","5.00","5.00","0.00","-","-","-","-","-","-","-","10.35"," "
" "," ","54","1402 遠東新","紡織","1.50","1.80","1.20","0.80","1.00","1.40","1.50","1.50","2.00","2.30","1.50","1.00","2.00","1.60","1.60","29.40"," "
" "," ","55","1409 新纖","紡織","0.55","0.85","0.50","0.25","0.25","0.43","0.36","0.32","0.32","0.90","0.21","0.00","0.20","0.00","0.00","20.30"," "
" "," ","56","1410 南染","紡織","1.00","1.30","1.40","1.45","1.30","1.20","0.90","1.20","0.90","0.16","0.00","0.00","0.00","0.00","0.00","34.10"," "
" "," ","57","1413 宏洲","紡織","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.25"," "
" "," ","58","1414 東和","紡織","0.20","0.20","0.32","0.20","0.20","0.30","0.50","0.38","0.30","0.00","0.00","0.00","0.00","0.00","0.00","14.20"," "
" "," ","59","1416 廣豐","紡織","0.00","1.20","1.20","3.00","1.30","0.30","2.31","1.00","0.00","0.50","0.00","0.00","0.00","0.00","0.00","10.20"," "
" "," ","60","1417 嘉裕","紡織","0.50","0.00","0.00","0.00","0.00","0.00","0.20","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.30"," "
" "," ","61","1418 東華","紡織","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.60"," "
" "," ","62","1419 新紡","紡織","1.00","0.85","3.73","0.46","0.35","0.31","0.45","0.50","0.60","0.70","0.25","0.00","0.25","0.33","0.50","41.20"," "
" "," ","63","1423 利華","紡織","0.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.00","0.00","17.90"," "
" "," ","64","1432 大魯閣","貿易","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12.30"," "
" "," ","65","1434 福懋","紡織","2.50","2.10","1.90","1.50","1.20","1.40","1.00","1.00","1.20","2.00","0.80","1.50","3.20","1.40","1.20","30.70"," "
