" "," ","編號","股票","類別","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","收盤價",""
" "," ","371","2459 敦吉","通路","3.00","3.00","3.00","2.60","2.50","2.53","1.50","2.00","1.80","2.50","1.60","1.20","1.80","2.50","2.55","53.30"," "
" "," ","372","2460 建通","電零","0.00","0.00","0.00","0.00","0.00","0.20","0.00","0.23","0.80","1.20","1.50","1.50","2.90","3.50","1.28","26.20"," "
" "," ","373","2461 光群雷","他電","0.00","0.41","0.56","0.82","0.50","0.42","0.65","0.41","0.00","0.20","0.35","0.20","1.54","1.00","0.51","23.05"," "
" "," ","374","2462 良得電","電零","0.60","0.50","0.00","0.60","1.00","1.10","1.90","2.50","3.00","2.30","3.00","1.44","1.60","1.23","1.40","27.60"," "
" "," ","375","2464 盟立","他電","2.50","3.30","1.50","2.00","2.30","1.60","1.50","1.00","1.30","2.70","1.60","2.10","3.70","3.40","2.67","39.60"," "
" "," ","376","2465 麗臺","電腦","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.30","0.00","0.00","65.70"," "
" "," ","377","2466 冠西電","光電","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.30","0.00","1.40","0.35","0.40","44.95"," "
" "," ","378","2467 志聖","電零","2.50","2.50","1.50","0.50","0.00","1.30","1.50","1.50","1.81","2.04","1.24","0.50","1.53","2.17","2.01","48.30"," "
" "," ","379","2468 華經","資服","0.50","0.50","0.40","0.50","0.50","0.50","0.30","0.10","0.50","0.70","0.70","0.70","1.00","1.00","0.50","12.70"," "
" "," ","380","2471 資通","資服","1.42","1.20","1.00","1.34","1.04","1.20","1.00","1.50","1.20","1.20","0.00","0.00","0.00","0.60","0.00","23.75"," "
" "," ","381","2472 立隆電","電零","1.50","2.30","2.20","2.40","2.50","1.80","2.00","0.74","1.20","0.60","0.00","0.00","0.14","0.07","0.12","69.50"," "
" "," ","382","2474 可成","他電","10.00","12.00","12.00","10.00","10.00","6.00","4.90","6.00","5.00","3.68","2.00","2.00","5.00","6.00","5.96","176.50"," "
" "," ","383","2476 鉅祥","電零","1.30","1.26","1.60","1.70","1.53","1.50","1.28","1.00","0.70","1.20","1.00","1.43","2.50","2.40","1.80","57.70"," "
" "," ","384","2477 美隆電","他電","1.60","0.86","1.30","0.00","1.10","1.00","3.00","0.60","0.00","0.80","0.25","0.25","1.52","1.00","0.80","27.25"," "
" "," ","385","2478 大毅","電零","1.80","2.50","0.80","0.50","0.20","0.40","0.24","0.35","0.70","1.80","1.18","0.80","1.01","1.41","1.70","62.90"," "
" "," ","386","2480 敦陽科","資服","4.45","3.42","2.62","2.10","2.00","2.00","2.00","2.00","1.90","1.87","1.80","1.69","1.20","1.20","1.07","67.40"," "
" "," ","387","2481 強茂","半導","1.05","0.50","0.00","1.00","0.90","0.20","0.00","0.00","0.00","1.20","0.00","0.40","1.50","1.18","0.00","107.50"," "
" "," ","388","2482 連宇","他電","0.00","0.00","0.00","0.32","0.15","0.00","0.00","0.00","0.00","0.00","0.50","0.00","1.33","0.70","1.00","11.35"," "
" "," ","389","2483 百容","電零","1.00","1.29","1.30","1.30","1.30","1.30","1.50","0.30","0.30","0.82","0.51","0.31","0.81","1.19","0.80","26.60"," "
" "," ","390","2484 希華","電零","0.95","1.45","1.00","1.20","1.20","1.00","0.60","0.00","0.00","0.25","0.00","0.80","1.00","1.10","0.95","35.30"," "
" "," ","391","2485 兆赫","通信","0.00","0.50","0.40","1.40","2.00","1.50","1.60","1.30","2.00","2.50","2.50","3.00","4.52","2.50","1.20","18.25"," "
" "," ","392","2486 一詮","光電","0.00","0.00","0.00","0.00","0.00","0.75","0.75","0.50","0.00","1.25","2.49","1.56","2.25","2.00","1.13","49.25"," "
" "," ","393","2488 漢平","他電","2.30","2.50","1.90","3.50","2.20","1.60","2.00","0.60","0.60","1.20","0.70","1.00","1.80","1.50","0.80","28.75"," "
" "," ","394","2489 瑞軒","光電","0.00","0.00","0.00","1.70","1.80","1.60","2.21","2.49","2.00","2.24","2.47","1.40","2.59","1.44","0.00","16.65"," "
" "," ","395","2491 吉祥全","光電","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.70"," "
" "," ","396","2492 華新科","電零","5.50","16.33","4.02","1.20","0.75","0.30","0.00","0.00","0.00","0.52","0.00","0.00","1.61","1.99","1.06","182.50"," "
" "," ","397","2493 揚博","電零","2.50","2.50","1.75","2.30","2.30","2.80","2.00","2.30","2.90","1.50","0.00","0.25","1.00","1.00","1.00","38.60"," "
" "," ","398","2495 普安","他電","0.60","0.40","0.40","0.90","0.90","0.60","0.15","0.35","1.00","2.20","2.50","3.60","4.31","4.01","5.04","15.85"," "
" "," ","399","2496 卓越","通信","2.53","4.00","7.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","49.25"," "
" "," ","400","2497 怡利電","他電","0.00","0.00","0.00","0.50","1.50","3.00","2.00","0.60","0.00","0.00","0.00","0.00","0.60","0.00","0.00","34.40"," "
" "," ","401","2498 宏達電","通信","0.00","0.38","0.00","0.00","0.00","0.38","0.00","2.00","40.00","37.50","26.50","27.50","37.00","30.00","16.00","35.25"," "
" "," ","402","2501 國建","營建","1.00","2.10","1.20","1.50","0.00","1.00","1.00","1.00","1.00","0.50","0.50","0.00","0.50","0.75","0.00","19.35"," "
" "," ","403","2504 國產","營建","0.30","0.25","0.50","0.00","0.10","0.40","0.00","0.20","0.20","0.40","0.30","0.25","0.60","0.60","0.50","22.25"," "
" "," ","404","2505 國揚","營建","0.15","0.50","0.25","0.00","0.40","0.10","0.40","1.27","0.30","0.00","0.00","0.00","0.30","0.00","0.00","27.30"," "
" "," ","405","2506 太設","營建","0.00","0.16","0.15","0.10","0.20","0.40","0.21","0.10","0.35","0.00","0.00","0.00","0.00","0.00","0.00","9.41"," "
" "," ","406","2509 全坤建","營建","2.20","2.40","1.80","1.20","1.60","1.20","1.50","1.00","2.00","2.00","2.00","1.50","2.03","1.41","0.60","18.05"," "
" "," ","407","2511 太子","營建","0.50","0.65","0.65","1.00","1.10","0.80","0.60","1.50","1.50","1.80","0.60","0.00","0.60","1.30","1.00","12.60"," "
" "," ","408","2514 龍邦","其他","0.00","0.25","0.50","0.35","0.21","0.30","0.40","0.20","0.00","0.60","0.50","0.00","1.01","0.60","0.20","18.30"," "
" "," ","409","2515 中工","營建","0.20","0.20","0.19","0.19","0.20","0.17","0.14","0.14","0.12","0.13","0.13","0.12","0.22","0.50","0.16","8.49"," "
" "," ","410","2516 新建","營建","0.00","0.00","0.00","0.25","0.30","0.30","0.10","0.51","0.80","0.70","0.00","0.00","0.00","0.00","0.00","5.67"," "
" "," ","411","2520 冠德","營建","1.50","1.00","0.50","1.10","1.00","2.00","1.00","0.99","0.99","1.00","1.00","0.50","0.50","0.50","0.00","41.15"," "
" "," ","412","2524 京城","營建","0.00","0.00","2.00","0.00","0.00","1.00","0.00","0.00","1.00","1.00","1.00","0.00","1.02","1.02","2.05","34.00"," "
" "," ","413","2527 宏璟","營建","1.80","1.20","0.80","0.80","1.10","1.50","0.80","0.65","0.80","0.40","0.30","0.30","0.35","0.40","0.35","27.45"," "
" "," ","414","2528 皇普","營建","0.00","0.00","0.00","0.00","0.00","0.20","0.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.00"," "
" "," ","415","2530 華建","營建","0.10","0.30","0.00","0.80","1.60","0.00","0.00","0.15","0.50","1.35","0.80","0.00","0.00","0.00","0.00","13.65"," "
" "," ","416","2534 宏盛","營建","0.50","0.00","4.00","1.00","0.50","0.40","1.00","1.00","1.20","1.50","1.30","1.00","4.00","3.30","0.52","19.90"," "
" "," ","417","2535 達欣工","營建","1.39","1.62","1.60","1.65","1.00","1.50","2.50","2.10","1.60","1.60","1.20","0.90","1.20","0.70","0.55","29.80"," "
" "," ","418","2536 宏普","營建","1.20","1.00","1.50","2.10","2.60","2.00","0.96","1.70","1.50","2.00","3.30","2.50","2.80","2.20","1.70","20.55"," "
" "," ","419","2537 聯上發","營建","0.00","0.00","0.00","0.80","1.60","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.40"," "
" "," ","420","2538 基泰","營建","0.50","0.60","0.80","1.00","1.30","1.24","1.70","1.47","1.30","1.20","1.20","1.10","1.42","1.10","1.00","11.30"," "
" "," ","421","2539 櫻花建","營建","2.86","1.50","2.30","2.60","3.10","3.00","3.00","1.50","1.40","1.30","0.31","0.00","0.00","0.00","0.00","32.75"," "
" "," ","422","2540 愛山林","營建","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","76.00"," "
" "," ","423","2542 興富發","營建","4.00","3.50","3.50","5.00","6.00","7.00","7.00","3.00","3.00","6.10","5.04","2.76","3.51","4.44","1.97","47.65"," "
" "," ","424","2543 皇昌","營建","0.00","0.00","0.00","0.30","0.31","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.55","0.97","0.97","7.25"," "
" "," ","425","2545 皇翔","營建","1.20","1.80","1.50","4.50","1.20","4.00","4.00","7.50","3.00","1.50","2.50","1.50","4.00","7.00","4.00","37.85"," "
" "," ","426","2546 根基","營建","3.00","3.00","2.16","1.50","1.00","1.50","1.00","1.00","0.50","2.86","2.90","0.50","0.50","0.50","0.00","45.85"," "
" "," ","427","2547 日勝生","營建","0.60","1.00","0.00","0.00","0.00","1.20","1.20","1.00","1.50","3.00","1.50","0.40","1.50","0.48","0.40","10.95"," "
" "," ","428","2548 華固","營建","7.50","5.00","5.20","5.60","5.50","5.00","5.50","5.00","5.80","6.49","6.56","4.91","7.00","5.60","4.60","85.30"," "
" "," ","429","2596 綠意","櫃營建","1.00","2.00","2.27","2.20","1.00","1.50","1.60","1.49","1.00","1.20","1.50","2.50","2.00","1.80","2.00","22.90"," "
" "," ","430","2597 潤弘","營建","4.50","4.80","2.35","4.00","4.60","7.50","6.90","1.90","1.40","1.90","4.50","1.50","1.35","-","-","157.00"," "
" "," ","431","2601 益航","貿易","1.00","0.10","0.00","0.00","0.00","0.25","0.00","0.25","0.50","1.01","1.01","2.06","1.02","0.00","0.00","17.40"," "
" "," ","432","2603 長榮","航運","0.00","0.00","0.70","0.00","0.00","0.20","0.00","0.00","0.00","2.00","0.00","0.00","1.70","0.30","2.50","140.00"," "
" "," ","433","2605 新興","航運","0.50","0.50","0.60","0.70","1.00","1.00","1.10","1.25","1.50","2.50","3.00","2.50","5.25","5.00","5.20","43.25"," "
" "," ","434","2606 裕民","航運","1.90","1.80","1.20","0.75","1.00","2.20","2.00","2.50","3.00","5.00","5.00","6.00","8.50","5.00","5.00","72.80"," "
" "," ","435","2607 榮運","航運","0.30","0.35","0.35","0.35","0.35","0.35","0.30","0.30","0.30","0.70","0.50","0.00","0.70","0.90","0.90","36.35"," "
" "," ","436","2608 大榮","航運","1.45","1.56","1.60","1.50","1.72","1.50","1.40","1.10","0.90","0.70","0.53","0.51","0.00","0.00","0.24","49.65"," "
" "," ","437","2609 陽明","航運","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.25","0.00","0.15","2.00","0.40","2.50","134.50"," "
" "," ","438","2610 華航","航運","0.00","0.21","0.22","0.00","0.46","0.00","0.00","0.00","0.00","0.40","0.00","0.00","0.00","0.42","0.50","17.00"," "
" "," ","439","2611 志信","航運","0.00","0.41","0.10","0.00","0.30","0.40","0.41","1.00","0.00","0.50","0.50","0.50","1.00","1.20","0.30","33.70"," "
" "," ","440","2612 中航","航運","0.80","1.60","0.50","0.50","0.20","1.30","1.50","1.00","2.00","3.20","6.00","6.80","6.00","3.00","2.00","89.20"," "
" "," ","441","2613 中櫃","航運","0.17","0.28","0.33","0.27","0.16","0.86","0.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","35.25"," "
" "," ","442","2614 東森","貿易","1.00","1.00","0.00","0.00","0.00","0.00","0.50","0.00","0.00","0.00","0.00","0.00","2.41","0.25","2.00","33.45"," "
" "," ","443","2616 山隆","油電","1.80","1.60","2.51","2.09","1.49","1.50","1.50","1.50","1.00","1.51","1.01","0.50","0.84","1.00","0.81","34.50"," "
" "," ","444","2617 台航","航運","0.80","1.30","0.70","0.00","0.22","0.65","0.80","0.80","1.50","2.20","2.20","4.25","3.00","1.80","2.80","53.50"," "
" "," ","445","2618 長榮航","航運","0.25","0.80","0.70","0.50","0.80","0.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","0.19","18.65"," "
" "," ","446","2633 台灣高鐵","航運","1.21","1.12","0.75","0.60","0.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","29.80"," "
" "," ","447","2634 漢翔","航運","1.19","1.34","1.13","1.37","1.36","0.92","0.00","0.00","0.00","-","-","-","-","-","-","29.30"," "
" "," ","448","2636 台驊投控","航運","1.30","2.20","1.30","0.80","2.00","1.63","1.09","0.75","1.97","2.72","0.70","1.54","1.20","2.00","-","180.00"," "
" "," ","449","2637 慧洋-KY","航運","1.74","1.49","1.00","1.50","2.50","2.92","2.25","2.25","2.50","2.50","2.50","-","-","-","-","87.00"," "
" "," ","450","2640 大車隊","櫃其他","4.20","3.80","4.00","2.70","3.78","5.40","4.80","3.50","2.00","4.00","-","-","-","-","-","74.70"," "
" "," ","451","2641 正德","櫃航運","0.20","0.00","0.00","0.00","0.10","0.20","0.20","0.20","0.20","-","-","-","-","-","-","33.05"," "
" "," ","452","2642 宅配通","航運","1.20","0.60","1.05","0.45","0.60","1.10","1.50","0.60","-","-","-","-","-","-","-","82.00"," "
" "," ","453","2643 捷迅","櫃航運","2.00","2.00","2.00","2.29","2.00","1.50","0.50","-","-","-","-","-","-","-","-","83.70"," "
" "," ","454","2701 萬企","觀光","0.40","0.40","0.50","0.75","0.70","0.66","0.50","0.53","0.45","0.60","0.59","0.42","0.48","1.22","1.15","11.85"," "
" "," ","455","2702 華園","觀光","0.00","1.00","0.00","0.52","0.52","0.65","0.40","0.80","0.90","0.81","0.75","0.35","0.60","0.00","0.00","25.45"," "
" "," ","456","2704 國賓","觀光","0.00","0.40","0.40","0.70","0.70","0.70","0.50","0.40","0.50","0.40","0.20","0.50","0.68","0.80","0.70","27.90"," "
" "," ","457","2705 六福","觀光","0.00","0.00","0.00","0.00","0.32","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.00"," "
" "," ","458","2706 第一店","觀光","0.45","0.45","0.56","1.00","0.90","0.90","0.74","0.71","0.61","0.90","1.02","1.10","1.14","2.64","0.81","13.65"," "
" "," ","459","2707 晶華","觀光","10.04","17.14","6.91","8.17","8.87","10.35","9.27","9.79","11.85","10.44","9.70","11.73","15.63","12.88","3.87","142.00"," "
" "," ","460","2712 遠雄來","觀光","0.00","0.00","0.11","0.50","0.85","1.00","0.55","0.40","0.00","-","-","-","-","-","-","37.50"," "
" "," ","461","2718 桃園店","櫃觀光","0.00","0.00","0.20","0.50","0.70","0.50","0.00","1.00","1.50","0.95","0.45","0.93","1.36","2.00","-","27.90"," "
" "," ","462","2719 燦星旅","櫃觀光","0.00","0.00","0.00","0.00","0.00","0.72","1.56","0.35","0.65","1.63","0.00","0.00","0.00","-","-","13.00"," "
" "," ","463","2722 夏都","觀光","0.20","0.20","0.80","1.00","1.20","1.20","1.20","1.20","1.20","1.50","1.20","-","-","-","-","30.60"," "
" "," ","464","2723 美食-KY","觀光","3.00","5.00","7.04","6.00","3.00","1.20","1.30","5.00","4.50","4.00","8.25","1.36","-","-","-","140.50"," "
" "," ","465","2724 F-富驛","櫃觀光","0.00","0.00","0.00","0.00","0.00","0.00","0.50","1.00","0.73","0.50","0.30","-","-","-","-","0.00"," "
" "," ","466","2726 F-雅茗","櫃觀光","3.00","2.98","3.99","3.00","2.50","2.00","2.00","4.00","-","-","-","-","-","-","-","44.55"," "
" "," ","467","2727 王品","觀光","4.50","4.39","5.50","3.50","1.00","8.09","12.57","14.67","10.24","12.05","-","-","-","-","-","142.50"," "
" "," ","468","2731 雄獅","觀光","2.00","3.80","5.20","4.00","4.60","4.20","4.00","1.80","1.30","2.60","-","-","-","-","-","84.50"," "
" "," ","469","2732 六角","櫃觀光","8.50","4.38","4.43","4.97","5.46","4.50","5.50","6.00","-","-","-","-","-","-","-","103.00"," "
" "," ","470","2734 易飛網","櫃觀光","0.00","0.00","0.00","0.00","0.50","2.00","1.80","0.60","-","-","-","-","-","-","-","21.30"," "
" "," ","471","2736 高野","櫃觀光","0.00","0.10","0.10","0.30","2.50","1.00","2.50","-","-","-","-","-","-","-","-","17.20"," "
" "," ","472","2739 寒舍","觀光","1.00","1.00","1.00","2.20","2.30","2.20","-","-","-","-","-","-","-","-","-","22.45"," "
" "," ","473","2740 天蔥","櫃觀光","0.00","0.00","0.00","0.00","1.47","5.06","-","-","-","-","-","-","-","-","-","20.80"," "
" "," ","474","2748 雲品","觀光","2.50","2.75","2.75","2.50","2.50","-","-","-","-","-","-","-","-","-","-","41.20"," "
" "," ","475","2801 彰銀","金融","0.80","0.84","0.85","0.92","0.95","0.90","0.80","0.80","0.90","1.18","0.30","0.60","0.90","1.00","0.00","16.75"," "
" "," ","476","2809 京城銀","金融","1.50","1.50","1.50","1.50","0.50","1.50","1.50","1.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","43.25"," "
" "," ","477","2812 台中銀","金融","0.80","0.80","0.70","0.72","0.67","0.89","0.78","0.82","0.43","0.30","0.00","0.10","0.92","0.00","0.00","11.95"," "
" "," ","478","2816 旺旺保","金融","1.38","0.90","0.70","0.00","0.10","1.16","0.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.65"," "
" "," ","479","2820 華票","金融","0.72","0.79","0.71","0.84","0.83","0.72","0.70","0.80","1.50","0.81","0.86","0.89","0.00","0.00","0.88","16.00"," "
" "," ","480","2823 中壽","金融","1.20","0.00","1.40","1.70","1.00","1.40","1.40","1.60","0.30","1.65","2.18","0.00","0.70","0.00","0.00","28.50"," "
" "," ","481","2832 台產","金融","1.00","0.90","1.10","0.90","1.20","0.90","1.10","1.10","1.16","2.00","2.60","0.00","2.68","1.95","1.35","19.75"," "
" "," ","482","2834 臺企銀","金融","0.70","0.80","0.67","0.40","0.60","0.73","0.40","0.40","0.40","0.45","0.40","0.00","0.00","0.00","0.00","9.59"," "
" "," ","483","2836 高雄銀","金融","0.60","0.51","0.50","0.60","0.55","0.50","0.28","0.20","0.00","1.17","0.00","0.00","0.50","0.60","0.50","11.25"," "
" "," ","484","2838 聯邦銀","金融","0.80","0.70","0.70","0.45","0.40","0.86","1.03","0.92","0.40","0.00","0.00","0.00","0.00","0.00","0.00","11.95"," "
" "," ","485","2841 台開","營建","0.00","0.00","0.00","0.00","0.69","1.20","0.69","0.00","0.62","1.45","0.41","0.50","0.00","0.00","0.00","6.00"," "
" "," ","486","2845 遠東銀","金融","0.74","0.71","0.71","0.65","0.60","0.94","0.70","0.72","0.78","0.77","0.45","0.00","0.00","0.00","0.61","10.70"," "
" "," ","487","2849 安泰銀","金融","0.73","1.00","0.60","0.60","0.60","0.60","0.60","0.60","0.60","0.60","0.00","0.00","0.00","0.00","0.00","15.45"," "
" "," ","488","2850 新產","金融","1.80","2.65","1.82","1.51","1.57","1.07","1.00","1.20","1.47","1.50","2.98","0.00","1.50","1.50","1.50","42.25"," "
" "," ","489","2851 中再保","金融","0.90","0.90","1.50","0.50","0.70","1.20","1.20","0.70","0.00","1.00","1.50","0.00","1.50","1.00","0.80","29.50"," "
" "," ","490","2852 第一保","金融","0.96","0.49","0.60","0.65","0.00","0.38","1.10","1.50","0.20","2.00","0.64","0.00","1.00","1.95","0.20","13.10"," "
" "," ","491","2855 統一證","金融","1.20","0.70","1.20","0.41","0.51","0.81","0.74","0.52","0.30","1.07","1.22","0.00","1.33","1.25","0.63","26.25"," "
" "," ","492","2867 三商壽","金融","0.00","0.00","1.57","0.92","0.50","1.30","0.50","0.60","0.00","0.43","2.20","0.00","-","-","-","9.07"," "
" "," ","493","2880 華南金","金融","1.12","1.10","0.95","1.20","1.25","1.24","1.00","1.00","1.00","0.90","0.75","1.00","1.20","1.00","1.40","19.80"," "
" "," ","494","2881 富邦金","金融","2.00","2.00","2.30","2.00","2.00","3.00","1.50","1.00","1.50","1.50","2.50","0.00","1.50","1.00","1.15","80.40"," "
" "," ","495","2882 國泰金","金融","2.00","1.50","2.50","2.00","2.00","2.00","2.00","1.38","1.00","0.80","1.00","0.00","3.00","1.50","1.99","55.80"," "
" "," ","496","2883 開發金","金融","0.60","0.30","0.60","0.50","0.50","0.60","0.40","0.18","0.00","0.69","0.60","0.00","0.45","1.00","0.50","13.40"," "
" "," ","497","2884 玉山金","金融","1.59","1.42","1.22","1.23","1.43","1.30","1.17","1.30","0.70","0.90","0.60","0.30","0.80","0.00","1.20","27.30"," "
" "," ","498","2885 元大金","金融","1.05","0.90","0.56","0.45","0.36","0.88","0.90","0.55","0.20","0.92","0.90","0.18","0.65","0.00","0.00","24.45"," "
" "," ","499","2886 兆豐金","金融","1.70","1.70","1.50","1.42","1.50","1.40","1.11","1.10","1.00","1.10","1.00","0.25","1.25","1.50","1.55","31.35"," "
" "," ","500","2887 台新金","金融","0.79","0.72","0.98","0.96","1.20","0.10","1.42","1.11","1.12","0.93","1.10","0.00","0.18","0.00","0.00","17.70"," "
" "," ","501","2888 新光金","金融","0.40","0.20","0.48","0.20","0.00","0.51","0.60","0.29","0.00","0.00","0.00","0.00","1.00","1.26","1.26","9.11"," "
" "," ","502","2889 國票金","金融","0.82","0.55","0.77","0.70","0.52","0.59","0.46","0.48","0.70","0.92","0.85","0.00","0.35","0.80","1.00","16.00"," "
" "," ","503","2890 永豐金","金融","0.70","0.64","0.70","0.69","0.93","1.24","1.15","1.13","0.46","0.58","0.12","0.00","0.13","0.30","0.71","13.60"," "
" "," ","504","2891 中信金","金融","1.00","1.00","1.08","1.00","1.61","1.62","0.75","1.41","1.28","1.45","1.28","0.50","1.00","0.00","1.70","22.00"," "
" "," ","505","2892 第一金","金融","1.35","1.10","1.00","1.40","1.40","1.35","1.20","1.10","1.00","0.90","0.75","0.75","1.82","1.20","1.50","23.10"," "
" "," ","506","2897 王道銀行","金融","0.40","0.00","0.30","0.45","0.50","0.40","0.20","0.20","0.20","0.20","0.20","0.00","0.55","0.25","0.42","7.22"," "
" "," ","507","2901 欣欣","貿易","0.40","0.39","0.41","0.38","0.49","0.44","0.38","0.43","0.40","0.27","0.31","0.28","0.17","0.00","0.20","26.00"," "
" "," ","508","2903 遠百","貿易","0.80","0.85","1.00","0.70","1.00","1.00","1.35","1.10","1.40","1.60","1.00","0.60","1.80","0.90","0.90","21.85"," "
" "," ","509","2904 匯僑","其他","1.65","1.51","1.20","1.35","2.00","2.00","2.80","2.60","4.00","1.15","0.87","0.50","0.21","0.00","0.00","27.65"," "
" "," ","510","2905 三商","貿易","2.00","0.50","1.60","1.40","1.10","0.60","0.70","1.80","0.80","1.18","1.00","0.00","0.70","0.60","0.00","21.55"," "
" "," ","511","2906 高林","貿易","0.30","0.40","0.40","0.40","0.50","0.90","0.70","0.60","1.25","1.00","0.75","0.00","0.74","0.74","0.75","15.20"," "
" "," ","512","2908 特力","貿易","0.71","1.30","1.20","1.08","0.95","1.13","1.00","1.08","1.12","0.66","0.26","0.50","1.10","1.03","1.66","24.00"," "
" "," ","513","2910 統領","貿易","0.70","0.00","0.00","0.50","0.00","0.70","0.70","1.00","1.00","0.80","0.00","1.00","1.20","1.20","1.50","32.50"," "
" "," ","514","2911 麗嬰房","貿易","0.00","0.00","0.52","0.00","0.00","0.00","0.00","0.70","1.40","1.40","1.40","0.90","0.80","0.60","1.00","7.17"," "
" "," ","515","2913 農林","貿易","0.00","0.30","0.49","0.50","0.50","0.61","0.50","0.00","0.25","0.19","0.12","0.00","0.00","0.00","0.00","20.05"," "
" "," ","516","2915 潤泰全","貿易","5.00","5.50","4.00","0.79","1.60","6.00","5.00","3.00","1.00","1.30","1.30","0.00","1.01","1.07","0.30","98.40"," "
" "," ","517","2916 滿心","櫃貿易","1.10","1.40","1.20","0.70","1.30","1.10","1.00","0.40","1.50","2.00","1.80","0.30","1.20","2.20","2.70","18.90"," "
" "," ","518","2923 鼎固-KY","營建","2.23","0.72","0.36","0.36","0.36","0.22","0.20","0.23","0.00","-","-","-","-","-","-","25.75"," "
" "," ","519","2924 F-東凌","櫃貿易","0.00","0.00","0.00","0.50","0.50","2.20","3.15","3.50","2.80","2.00","0.00","-","-","-","-","18.60"," "
" "," ","520","2926 誠品生","櫃文創","4.20","6.80","7.56","7.68","8.08","6.92","6.00","5.60","4.81","-","-","-","-","-","-","58.90"," "
" "," ","521","2928 F-紅馬","櫃觀光","1.00","0.00","0.79","3.20","0.95","-","-","-","-","-","-","-","-","-","-","31.65"," "
" "," ","522","2929 淘帝-KY","貿易","1.70","4.65","5.33","4.23","7.43","6.50","5.50","0.00","-","-","-","-","-","-","-","13.90"," "
" "," ","523","2936 客思達-KY","貿易","0.00","0.00","0.30","4.00","0.70","-","-","-","-","-","-","-","-","-","-","23.55"," "
" "," ","524","2937 集雅社","櫃貿易","1.55","0.70","0.60","0.46","0.50","-","-","-","-","-","-","-","-","-","-","37.00"," "
" "," ","525","3002 歐格","電腦","0.47","0.00","0.25","0.50","0.35","0.80","1.00","0.40","0.30","0.60","1.80","1.00","1.80","1.80","1.50","11.90"," "
" "," ","526","3003 健和興","電零","1.00","1.80","1.80","1.50","1.00","0.99","0.99","0.70","0.50","1.00","1.00","0.40","1.46","1.99","1.00","102.50"," "
" "," ","527","3004 豐達科","鋼鐵","2.67","2.50","2.00","1.50","1.80","0.00","0.99","0.99","0.20","0.00","0.00","0.00","0.00","0.00","0.00","54.50"," "
" "," ","528","3005 神基","電腦","2.80","3.00","2.50","3.00","2.00","1.30","1.00","0.50","0.70","0.40","1.18","0.99","1.41","0.57","1.26","51.10"," "
" "," ","529","3006 晶豪科","半導","1.00","1.50","2.24","1.43","1.16","2.65","2.00","0.60","0.50","1.00","1.00","1.00","2.50","2.13","1.34","135.50"," "
" "," ","530","3010 華立","通路","3.30","3.20","3.30","2.60","2.70","3.30","3.00","2.50","2.30","3.50","2.30","1.70","3.80","4.16","4.00","86.00"," "
" "," ","531","3011 今皓","電零","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.10","0.00","0.00","0.00","0.00","0.60","1.02","8.60"," "
" "," ","532","3013 晟銘電","電腦","0.30","0.30","0.50","0.50","0.31","0.00","0.00","0.00","0.00","0.80","0.30","0.32","0.73","0.77","0.56","12.55"," "
" "," ","533","3014 聯陽","半導","3.30","2.70","2.50","3.00","2.00","2.00","1.19","1.20","0.00","1.50","2.00","1.00","3.29","2.00","1.69","120.00"," "
" "," ","534","3015 全漢","電零","1.50","1.25","1.50","1.50","1.50","0.10","1.80","1.99","2.00","2.69","2.79","2.25","3.00","3.00","3.00","39.25"," "
" "," ","535","3016 嘉晶","半導","0.24","1.00","0.50","0.00","0.00","0.10","0.00","0.00","0.20","0.60","0.00","0.00","0.79","2.00","0.40","83.70"," "
" "," ","536","3017 奇鋐","電腦","1.30","1.00","1.30","1.20","1.00","1.00","0.40","0.20","1.00","2.25","2.00","1.00","1.00","0.00","0.00","69.80"," "
" "," ","537","3018 同開","他電","0.00","0.00","0.78","0.21","0.00","0.51","0.00","0.40","0.80","0.40","0.00","0.00","0.00","0.00","0.00","15.65"," "
" "," ","538","3019 亞光","光電","2.00","2.30","1.60","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","4.10","4.50","5.50","81.10"," "
